"payment","var1","var2","var3","var4","var5","var6","var7","var8","var9","var10","var11","var12","var13","var14","var15","var16","var17","var18","var19","var20","var21","var22","var23","var24","var25","var26","var27","var28","var29","var30"
"Denied","wv","bq",3.79,29.62,8.87,0.25,21.17,10.42,"ch","ld","te",7.84,"pf",-1.31,12.27,4.71,"zk",31.56,"ev",34.39,15.27,-4.37,"qu",-4.74,7.01,25.28,9.16,1.75,"dg",-1.02
"Success","wv","xn",3.53,-2.95,36.66,-0.09,-1.55,-0.82,"ch","ld","te",-0.38,"kh",1.82,19.85,8.13,"bw",33.3,"me",33.12,20.67,16.66,"ub",12.35,-1.1,15.71,1.28,-0.27,"ev",15.99
"Denied","wv","py",4.58,12.82,14.92,11.97,7.45,12.59,"ch","db","te",-7.43,"cb",4.23,11.83,0.43,"bw",18.86,"ev",20.51,4.67,27.89,"ub",8.7,5.82,35.07,-3.98,1.93,"dg",-22.07
"Success","wv","bq",4.44,-9.9,18.44,12.89,4.96,2.56,"ch","ld","te",8.16,"np",1.97,31.05,11.9,"az",17.64,"qu",14.34,13.51,3.74,"tf",5.69,24.97,15.91,5.8,2.12,"ev",21.66
"Success","wv","bq",4.78,18.04,73.21,7.11,8.48,1.99,"ch","db","rl",11.56,"kh",1.56,9.53,30.07,"zk",10.69,"me",23.4,25.65,11.54,"da",4.62,8.02,-1.1,1.74,1.37,"ev",6.94
"Denied","qw","js",7.46,14.64,17.61,-0.1,16.98,13.15,"nv","db","te",11.78,"pf",-0.68,-7.57,0.29,"ki",6.34,"tg",40.06,2.77,13.09,"tf",6.78,7.63,2.52,5.88,-1.13,"dg",14.64
"Denied","kq","bq",2.22,6.74,34.99,6.26,5.01,4.97,"ch","ld","te",1.69,"cb",2.98,19.49,14.07,"ki",-12.77,"qu",-5.12,6.53,27.33,"ri",12.06,18.61,20.86,3.21,0.19,"ev",-7.56
"Denied","qw","py",5.09,18.56,-11.63,8.06,18.93,11.86,"nv","ld","te",-2.72,"te",2.37,-2.4,13.38,"ki",44.9,"me",11.7,37.37,12.78,"fe",2.24,8.27,-0.64,8.93,-0.38,"dg",27.87
"Denied","wv","js",4.01,8.13,34.83,-3.87,-15.73,7.11,"ch","db","te",2.12,"cb",1.57,-12.93,1.34,"bw",25.65,"tg",49.93,43.65,26.01,"ri",3.96,22.91,42.5,8.76,0.25,"dg",1.14
"Success","qw","hk",5.4,6.02,-1.58,8.18,12.47,4.19,"ja","db","te",12.77,"cb",2.93,3.17,28.14,"bw",53.03,"bz",53.91,22.74,12.74,"fe",2.49,9.6,2.47,4.72,2.7,"ev",34.74
"Denied","qw","js",4.23,35.98,24.4,19.09,-4.64,7.58,"ch","db","te",-1.19,"iz",1.93,6.91,3.46,"ki",5.53,"ev",0.72,28.28,7.29,"qu",0.99,22.83,35.27,6.35,0.17,"ev",5.14
"Denied","kq","hk",1.74,29.35,31.1,9.3,8.12,-2.31,"nv","ld","te",11.44,"kh",0.59,39.83,-4.53,"ki",12.63,"bz",10,46.77,28.51,"tf",3.97,9.27,30.03,6.5,1.03,"ev",10.13
"Denied","qw","js",5.53,10.88,14.08,10.32,12.18,8.76,"ch","ld","te",0,"cb",0.3,14.38,-2.66,"zk",26.67,"bz",19.02,18.74,16.11,"qu",3.18,19.91,9.6,4.45,0.75,"ev",8.99
"Denied","wv","py",2.27,22.04,14.98,14.14,2.37,-3.71,"ja","ld","te",14.82,"iz",1.81,47.14,-7.29,"bw",20.89,"ev",30.83,15.15,8.62,"ub",11.88,4.05,16.58,1.53,0.82,"dg",-17.67
"Denied","qw","bq",8.9,31.65,33.03,-3.07,5.13,9.58,"ch","db","te",7.8,"cb",1.2,26.03,15.22,"bw",47.42,"hw",12.37,8.15,13.31,"tf",-1.12,2.18,15.95,5.06,-0.27,"ev",31.74
"Denied","qw","xn",4.45,14.35,42.01,7.18,19.22,-6.86,"nv","ld","te",16.53,"cb",3.55,0.29,11.1,"ki",12.82,"qu",6.49,13.5,-4.14,"ub",4.82,16.4,15.69,1.55,-0.41,"ev",15.02
"Denied","wv","bq",0.23,-2.63,56.1,0.22,25.6,1.69,"nv","pe","rl",4.44,"iz",3.99,31.48,8.14,"ki",-21.06,"ev",21.25,-0.7,16,"ub",-2.58,20.08,10.86,8.58,1.34,"ev",1.06
"Denied","wv","bq",3.68,9.94,42.79,5.77,-0.69,13.46,"ch","ld","rl",2.88,"cb",2.27,17.46,5.04,"ki",22.18,"me",17.54,24.78,3.12,"qu",7.79,24.24,34.63,1.81,0.84,"ev",25.39
"Denied","qw","js",1.41,-8.28,27.33,13.45,5.53,9.41,"nv","ld","te",3.62,"pf",-0.07,5.74,8.9,"bw",7.61,"qu",-1.42,4.52,18.06,"ri",-1.64,24.03,2.51,-0.44,1.68,"ev",37.86
"Denied","kq","py",4.36,-8.84,-17.48,29.15,2.22,2.04,"nv","ld","te",0.04,"pf",-1.71,4.46,22.47,"bw",12.03,"tg",32.23,28.42,28.21,"tf",-4.81,-6.88,22.48,-0.18,1.79,"ev",4.27
"Denied","qw","hk",3.38,25.8,-16.25,3.07,4.2,9.08,"nv","ld","te",11,"te",-1.71,1.77,8.8,"ki",44.72,"ev",16.41,45.49,25.49,"tf",-2.03,23.02,6.41,1.64,0.1,"ev",33.86
"Success","qw","hk",6.28,10.45,6.24,12.9,16.54,8.7,"ch","db","te",9.22,"te",2.01,-9.58,2.37,"bw",39.19,"me",28.82,17.49,9.48,"da",11.14,-4.31,18.67,7.65,-0.28,"ev",22.4
"Denied","ma","rv",4.39,2.24,20.61,8.15,-4.23,7.12,"ch","ld","te",15.84,"cb",2.48,11.9,-1.32,"ki",26.64,"qu",16.34,4.5,26.68,"qu",18.1,30.64,-12.13,4.29,1.89,"ev",33.04
"Denied","qw","js",3.23,4.96,48.7,7.57,-5.31,13.73,"ja","ld","te",12.34,"cb",3,51.47,19.18,"bw",28.46,"qu",-16.23,11.65,14.78,"fe",2.85,26.14,0.89,1.45,2.47,"dg",-8.62
"Denied","qw","bq",2.45,19.96,28.49,5.94,7.25,4.04,"ch","db","te",1.61,"te",2.8,9.1,0.32,"zk",20.64,"bz",4.89,13.96,25.23,"tf",2.2,13.18,12.01,-4.29,1.72,"ev",-10.14
"Denied","wv","bq",4.27,6.86,34.5,5.79,8.09,2.52,"ch","ld","te",9.36,"cb",4.68,32.91,5.86,"ki",-12.79,"tg",-6.99,-7.04,25.75,"tf",-1.45,13.23,20.63,1.5,0.18,"ev",0.55
"Denied","wv","qf",7.13,14.08,11.31,14.05,14.45,12.26,"ch","ld","te",5.62,"te",6.23,22.78,4.15,"bw",6.56,"hw",27.07,16.97,-1.81,"qu",10.37,17.67,18.29,6.74,-0.12,"ev",15.86
"Success","qw","py",6.01,-0.95,33.81,-6.23,9.06,-4.58,"ch","ld","te",-10.54,"te",3.95,4.6,16.59,"zk",2.3,"qu",-7.77,30.38,-5.64,"ub",3.03,-6.48,11.02,1.43,0.97,"ev",9.25
"Success","wv","hk",3.79,17.39,17.78,13.92,-7.14,4.59,"ch","ld","rl",4.08,"te",-1.11,18.3,16.91,"ki",12.28,"ev",26.16,0.42,22.68,"qu",5.53,-0.67,2.78,5.9,-0.04,"dg",42.46
"Success","kq","bq",1.81,15.96,-3.8,1.17,9.39,9.45,"ch","ld","rl",9.59,"cb",-1.12,21.55,22.73,"ki",5.52,"me",2.97,-6.69,-0.78,"qu",13.96,0.36,15.68,4.56,1.43,"dg",24.41
"Denied","qw","py",1.66,5.62,9.43,8.9,4.66,7.34,"ch","pe","rl",5.03,"iz",-0.28,-5.29,-4.96,"ki",3.36,"qu",-36.49,16.41,15.74,"ri",12.62,3.77,18.3,5.64,-0.09,"ev",5
"Denied","qw","bq",7.09,19.05,-5.99,-4.95,10.11,8.65,"ch","db","te",4.27,"te",2.02,25.33,-0.84,"bw",12.99,"qu",29.3,17.8,30.34,"ub",0.84,11.34,24.83,4.05,-1.13,"dg",22.6
"Denied","qw","py",-0.85,5.61,6.32,1.47,8.12,1.13,"ch","db","rl",0.05,"np",0.61,-0.5,-4.35,"ki",2.41,"qu",9.3,13.26,-4.21,"qu",1.71,13.26,30.32,0.28,-0.53,"ev",20.99
"Denied","qw","py",-0.17,19.93,-3.34,11.39,4.48,4.42,"ch","ld","te",7.82,"cb",3.01,-20.22,23.19,"bw",41.31,"tg",-3.63,15.72,-27.8,"qu",7.25,25.07,11.49,8.76,0.32,"ev",29.97
"Denied","qw","hk",-0.48,24.25,-12.47,23.37,13.41,10.51,"ch","ld","rl",13.24,"kh",4.11,37.47,15.4,"bw",21.17,"qu",15.64,24.7,0.47,"ri",-2.13,34.56,-7.81,3.44,1.49,"ev",37.06
"Denied","qw","bq",-0.67,9.22,25.78,10.8,23.3,1.24,"ch","ld","rl",7.4,"cb",2.11,-13.62,7.96,"zk",-8.51,"ev",45.37,-2.76,32.43,"ri",-5.25,5.95,19.16,3.89,1.7,"dg",-0.75
"Success","qw","js",5.12,10.33,6.43,12.04,22.21,-0.95,"nv","ld","te",8.75,"iz",-3.09,-11.47,4.19,"zk",-1.24,"tg",43.43,28.84,3.58,"tf",6.18,-0.65,-12.4,2.67,2.38,"ev",-11.96
"Denied","wv","hk",2.94,0.76,27.71,16.61,11.63,9.36,"ch","db","rl",7.5,"cb",0.4,-16.34,7.8,"bw",24.56,"ev",27.23,11.58,12.83,"tf",11.49,6.49,23.27,8.02,0.5,"ev",39.07
"Denied","qw","js",3.86,3.87,10.8,6.54,4.6,10.41,"nv","pe","te",18.03,"cb",0.79,18.83,8.57,"bw",29.86,"bz",24.76,20.39,2.02,"qu",6.03,3.41,6.65,2.08,0.64,"dg",24.82
"Denied","qw","bq",7.13,-8.33,9.68,2.18,11.1,6.44,"nv","db","te",10.48,"te",1.13,-9.44,-0.17,"bw",2.77,"me",-11.94,9.53,23.94,"ri",11.16,12.86,28.68,4.01,1.73,"ev",42.32
"Success","kq","bq",0.46,16.36,27.54,5.76,9.31,20.89,"ch","ld","te",8.65,"te",-0.93,26.54,8.96,"zk",10.34,"qu",31.91,18.36,34.83,"yv",1.53,13.61,-7.54,0.66,-0.08,"ev",17.06
"Success","wv","py",1.68,27.44,-31.15,2.5,-7.49,18.81,"ch","db","rl",1.88,"cb",-0.01,25.41,21.21,"ki",31.22,"ev",11.72,20.64,23.19,"ub",5.01,14.14,16.63,5.04,2,"dg",3.46
"Denied","qw","qf",4.07,8.75,41.74,3.85,2.61,9.2,"nv","db","rl",5.95,"cb",-0.67,-6.58,16.51,"bw",30.9,"tg",4.44,4.51,3.79,"da",2.76,21.77,30.84,2.67,1.19,"ev",12.93
"Denied","qw","py",3.35,8.48,49.35,19.61,14.32,11.29,"ch","db","te",0.19,"te",-2.03,32.22,21.12,"bw",50.38,"fh",39.27,47.8,10.08,"ri",9.66,2.54,7.06,5.02,1.7,"ev",15.37
"Denied","ma","bq",5.9,11.47,30.69,28.44,26.66,5.52,"ch","ld","te",14.85,"kh",0.05,24.13,10.68,"bw",54.1,"qu",18.46,15.58,16.82,"tf",0.65,6.24,12.52,9.03,0.67,"ev",21.51
"Denied","qw","py",2.71,5.91,8.65,15.33,1.67,-6.55,"ch","ld","te",10.31,"iz",1.38,11.79,6.59,"bw",10.65,"ev",41.54,21.13,18.78,"ub",-2.73,13.36,7.68,6.96,1.59,"dg",19.43
"Denied","wv","js",6.11,41.74,27.63,8.8,4.58,10.91,"ch","ld","te",-6.59,"cb",2.32,7.73,5.05,"bw",35.9,"ev",27.8,2.83,-3.71,"ri",8.47,8.09,26.93,-3.05,0.77,"dg",26.17
"Denied","qw","zg",7.88,26.05,24.87,12.48,-12.96,2.67,"ch","db","te",4,"iz",2.02,29,-0.58,"bw",12.84,"qu",-7.64,7.66,22.72,"tf",7.73,22.67,36.78,2.87,1.31,"ev",29.2
"Denied","wv","py",0.43,5.26,12.76,13.39,22.24,-0.81,"ch","ld","te",12,"cb",-1.78,-4.92,-1.58,"zk",13.26,"bz",20.88,17.6,0.26,"ri",5.14,22.41,10.71,14.06,1.19,"dg",33.17
"Success","kq","py",7.78,12.86,51.11,0.87,5.68,15.07,"ch","db","te",4.62,"iz",2.81,11.24,20.93,"bw",30.02,"ev",52.57,7.23,-2.07,"tf",0.85,-9.65,29.07,1.61,-0.69,"ev",20.8
"Denied","qw","py",5.26,30.9,-21.88,21.74,23.83,-2.79,"ch","ld","te",16.59,"cb",0.99,39.51,16.22,"ki",27.38,"tg",26.4,30.24,33.4,"fe",-0.21,10.83,29.65,5.57,0.76,"ev",23.11
"Denied","wv","bq",3.86,2.97,28.32,1.9,23.42,2.92,"ch","ld","rl",0.52,"iz",-0.35,44.87,5.29,"ov",18.62,"ev",38.47,23.08,19.58,"tf",5.76,5.58,29.31,-0.14,-0.83,"ev",1.14
"Denied","ma","py",3.13,-18.17,8.89,10.12,-1.26,6.31,"ch","ld","te",6.43,"te",3.86,14.29,5.47,"zk",-12.23,"qu",-6.11,36.37,-10.43,"ri",5.4,14.49,22.32,9.32,0.92,"ev",29.48
"Success","kq","py",1.65,-22.02,21.51,12.93,5.89,7.75,"ch","ld","te",2.35,"cb",0.73,-8.07,13.46,"ki",21.69,"ev",14.17,6.73,32.3,"sy",-1.03,-4.84,21.11,5.39,-0.61,"dg",6.59
"Success","qw","zg",4.94,-3.18,23.41,9.34,6.74,3.52,"nv","db","rl",-5.3,"cb",-0.63,11.08,-4.2,"ki",31,"tg",31.89,12.62,36.27,"da",2.38,7.45,-6.47,9.48,1.31,"ev",6.12
"Success","qw","py",-0.71,12.06,3.9,17.78,19.86,17.46,"ch","db","te",2.82,"kh",-0.37,35.41,8.38,"bw",33.72,"me",9.39,13.66,12.8,"ri",5.26,-11.43,1.38,-1.5,1.66,"ev",29.93
"Denied","qw","py",2.93,27.3,4.55,5.08,10.1,10.53,"ja","ld","te",20.42,"cb",-1.56,-8.71,14.38,"az",-9.3,"tg",42.32,1.48,1.09,"da",6.06,13.53,11.47,2.95,0.67,"ev",16.05
"Success","wv","bq",0.58,-13.22,-2.75,11.82,20.22,-5.95,"ch","ld","rl",16.13,"iz",2.98,27.41,19.29,"ki",29.25,"ev",-0.89,35.6,15.95,"ri",10.9,4.58,18.55,1.06,1.51,"dg",32.7
"Success","wv","zg",3.08,7.13,2.67,4.41,25.26,-0.65,"ch","db","te",10.62,"te",3.02,5.83,12.19,"bw",88.98,"qu",39.56,9.26,-4.21,"sy",3.2,11.89,7.6,1.83,1.75,"ev",6.45
"Denied","wv","bq",5.35,42.55,17.42,5.59,2.28,13.22,"ch","db","te",9.15,"cb",3.34,47.7,-16.26,"zk",11.48,"tg",36.55,19.16,27.58,"tf",8.22,9.05,-10.35,7.89,-1.16,"ev",31.28
"Success","wv","zg",7.29,10.45,25.25,9.58,0.74,18.9,"nv","pe","te",23.28,"cb",-2.17,18.07,20.43,"ki",24.09,"bz",38.14,30.48,7.34,"qu",4.41,5.91,9.07,2.81,1.1,"ev",-2.93
"Denied","wv","py",0.68,21.98,-9.97,20.48,-1.25,4.06,"ch","db","te",1.11,"cb",2.06,21.53,28.49,"bw",6.33,"ev",56.77,6.43,-7.19,"qu",0.93,9.08,3.28,5.53,1.47,"ev",22.16
"Success","qw","bq",0.05,-12.61,-11.36,12.22,22.21,-1.24,"nv","ld","te",2.39,"iz",-1.6,18.39,3.18,"bw",2.5,"tg",12.59,19.02,17.67,"fe",8.96,5.45,-1.67,1.91,0.91,"ev",21.68
"Denied","qw","js",2.23,24.9,14.53,3.03,22.19,-3.51,"ch","db","te",5.58,"cb",0.37,36.08,11.88,"ki",-0.17,"ev",-7.11,31.53,11.61,"fe",-1.68,28.25,12.32,-7.14,-0.8,"dg",37.56
"Denied","wv","hk",0.54,9.62,9.45,9.43,-4.24,15.41,"ch","db","te",16.44,"cb",0.96,18.94,6.45,"bw",-3.01,"tg",23.74,2.76,6.82,"po",8.13,12.2,15.79,6.34,2.23,"ev",10.06
"Denied","kq","hk",1.18,28.47,14.39,17.22,12.73,13.28,"nv","ld","te",10.02,"cb",3.03,49.23,13.89,"ki",-1.5,"tg",45.77,-20.26,11.6,"ri",7.69,26.32,14.12,-2.76,0.01,"dg",8.01
"Success","qw","bq",0.04,0.19,-31.73,4.94,4.72,3.54,"ch","ld","te",6.66,"cb",2.56,37.71,12.08,"ov",-15.84,"ev",42.15,42.41,24.9,"fe",4.09,2.37,29,3.75,1.29,"dg",27.35
"Denied","qw","py",8.18,16.25,7.36,-1.23,2.01,19.25,"ch","ld","te",22.78,"cb",-1.61,-0.78,14.85,"bw",-15.74,"bz",26.48,3.99,8.99,"tf",0.23,17.8,10.59,4,-0.42,"dg",23.86
